¡marcarlo!,Lo que se dice a la persona con la pizarra para que chasquee los palos juntos.
Movimiento,"Las partes de una cámara o proyector que mueven la película intermitentemente: la garra de avance, los rodillos antes y después de los bucles, y los engranajes que conectan estas partes forman el movimiento. Si hay un pasador de registro, esto también es parte del movimiento. A veces, el obturador también se puede considerar parte del movimiento."
Moviola,"Una moviola vertical. Moviola es la compañía que fabrica esta máquina. También fabrican mesas planas, pero cuando alguien dice ""moviola"", generalmente se refiere a una vertical. Se trata de un visor de películas, a menudo utilizado en un banco de edición."
Moviola Vertical O Vertical,Una máquina de edición con brazos en la parte trasera para sostener los carretes de suministro y toma. La película se mueve hacia arriba y alrededor de una pantalla en el frente. Pedales de pie controlan los motores para la velocidad de sonido y la visualización de velocidad variable.
Mpaa,Siglas que significan 'motion picture association of america' - una organización que representa los intereses de los principales estudios cinematográficos.
Mtv Style Editing,"Se refiere al estilo de filmación y edición encontrado por primera vez en el canal de televisión mtv en la década de 1980 y en sus videos musicales, que consiste en tomas cortadas rápidamente, acción de ritmo rápido, cortes rápidos, ediciones rápidas, y numerosos ángulos de cámara."
Musical (película),"Una categoría importante de género cinematográfico que denota una película que enfatiza segmentos de canciones y bailes intercalados dentro de la acción y el diálogo, conocido por sus artistas, estrellas, cantantes y bailarines distintivos, dos tipos principales son los musicales ""backstage"" y los musicales ""integrados con la música""."
Mute,Una copia con solo la imagen (sin la banda sonora).
Narration,"La narración de una historia y la información adicional proporcionada a la audiencia de la película por una voz en off, a veces el narrador es un personaje en la película, que proporciona información en un flashback, ver también voz en off."
Narrative Film,"Una serie estructurada de eventos, vinculados por causa y efecto, que proporcionan la trama de una película, una película que cuenta una historia cronológica o lineal (con un principio, un medio y un final), en contraposición a las películas no narrativas, como las poéticas o abstractas."
Naturalism (naturalistic),"Un término teatral, artístico, filosófico o literario, así como un término cinematográfico, que significa una forma extrema de realismo en la que la vida se representa de manera estoica y objetiva, ver también neo-realismo."
Negative,Se refiere a la película que tiene un registro invertido de las áreas de luz y oscuridad de la escena fotografiada.
Negativo,"La película original que se utiliza en la cámara, a partir de la cual se hace una copia positiva para la edición. El negativo se ensambla para que coincida con el workprint editado, y se hace una copia de la respuesta, para la proyección de la película completada, a partir del negativo."
Neo-realism,"Un movimiento influyente de finales de los años 40 y los años 50 que se originó en italia, inaugurado por jean renoir, pero asociado con directores italianos de la posguerra (rossellini, visconti y de sica), se refiere a películas realizadas fuera del estudio, con filmación en ubicaciones reales, a veces la ausencia de un guion y/o elenco y actores no profesionales - todo diseñado simultáneamente para reducir costos y aumentar la impresión de espontaneidad, las películas neo-realistas a menudo tratan temas sociales y políticos contemporáneos, ver también naturalismo."
Network Tv,"Originalmente se refería a las ""tres grandes"" (abc, nbc y cbs), pero ahora con competidores adicionales, incluido fox channel, a menudo conocido como 'televisión gratuita'."
New Wave,"También conocido como nouvelle vague, originalmente se refería a un grupo de cineastas, directores y productores franceses individualistas, innovadores y no tradicionales a finales de los años 50 y principios de los 60, incluidos francois truffaut, jean-luc godard, claude chabrol, eric rohmer y alain resnais, que comenzaron como críticos en cahiers du cinema y defendieron los principios de la teoría del autor, el estilo de cine new wave se caracterizaba por un estilo de cine verité con el uso del corte de salto, la cámara en mano, la narración no lineal y la dirección suelta e improvisada, ahora se usa generalmente para referirse a cualquier nuevo movimiento en el cine nacional."
Nickelodeon,"El término para un cine improvisado, a menudo una tienda convertida, que proliferó por todo estados unidos, principalmente en áreas de clase trabajadora de centros metropolitanos, durante la primera década del siglo xx. El nombre se derivó de los 5 centavos/níquel cobrados a los clientes."
Niebla,"Esto ocurre cuando la luz cruda errante tiene la oportunidad de exponer la película. También puede referirse a un filtro, como un filtro de niebla, que difumina la imagen."
Niebla En Los Bordes,"Exposición a lo largo del borde de la película por luz cruda, en la mayoría de los casos debido a una fuga de luz debido a que la puerta de la cámara no está sellada. La niebla en los bordes a veces puede ser visible en el encuadre o a veces fuera de él, afectando la claridad de los números de borde latentes."
Nihilistic (nihilism),"Una película oscura y sombría que presenta un tono pesimista, deprimente, sombrío, cínico o sombrío, a menudo cargada de fatalismo y preocupada por temas de muerte, sufrimiento, tragedia, infelicidad y desesperación existencial, el protagonista a menudo se encuentra con la muerte o la tragedia en la conclusión de la película, ver también distopía."
Nitrate Film Base,"Un tipo de base de película altamente inflamable, compuesta de nitrato de celulosa, utilizado hasta finales de la década de 1940 cuando fue reemplazado por la base de acetato."
No Reflex,"Una cámara que no tiene un sistema de visión ""a través de la lente"", sino que proporciona una imagen en el visor a través de una lente separada. Las cámaras más antiguas de bolex y bell & howell son no reflex."
Noir,"Ver cine noir, tecno-noir."
Non-speaking Role,"Un papel pequeño en una película, generalmente una breve aparición en pantalla, que no tiene diálogo pero donde el individuo es claramente identificable y generalmente aparece en los créditos, ver también extra, cameo, bit y walk-on."
Non-sync (non-synchronized),"Se refiere a una escena filmada sin sonido sincronizado, y los sonidos deben agregarse más tarde durante la etapa de edición, el sonido sincronizado es lo opuesto, también se refiere a una banda sonora descoordinada, también conocido como asíncrono."
Non-traditional Casting,"Un movimiento, ahora encabezado oficialmente por el proyecto de casting no tradicional (ntcp, por sus siglas en inglés), para ""promover prácticas y estándares de contratación inclusivos, diversidad en el liderazgo y representaciones equilibradas de personas de color y personas con discapacidades"", no debe confundirse con actuar en contra del tipo de rol o mal seleccionado."
Nostalgia Film,"Una película que mira con nostalgia a un tiempo pasado anterior, a menudo representándolo como más inocente y menos complicado de lo que realmente fue históricamente, las películas de nostalgia generalmente recuerdan la infancia del protagonista o del narrador. Ver también película de crecimiento."
Noticiero,Se refiere a un reportaje de noticias cinematográficas filmado.
Novelization,Se refiere a hacer una novela a partir de una película o guion.
Ntsc,"Un acrónimo, se refiere específicamente al comité de sistemas de televisión nacional que establece los estándares de televisión y video, también se refiere a los sistemas de visualización de video de ee. Uu., Canadá y japón que tienen 525 líneas de exploración horizontal de resolución, 16 millones de colores diferentes, a 30 cuadros por segundo (o 60 medios cuadros (entrelazados) por segundo), los sistemas competidores en europa y en todo el mundo son pal (phase alternating line) y secam (color secuencial con memoria)."
Nudie (or Nudie Flick),"Un término antiguo para una película pornográfica, a menudo utilizado durante la era del código hayes cuando la desnudez estaba prohibida por los censores en las películas convencionales en la pantalla grande, una era de películas nudie fue generada por el cineasta russ meyer a finales de los 50, también ver pornografía."
Números De Borde Latente,"Precisamente, los números de borde, y no los números de código impresos. Ver números de borde."
Números De Borde O Números Latentes De Borde,"Los números de borde son pequeños números que corren a lo largo del borde de la película, entre las perforaciones en 16mm, y justo al lado de ellas en 35mm. Se fotografían en la película en su fabricación, y están ahí para ayudar al cortador de negativos a alinear las tomas en el proceso de conformación del negativo. A veces se llaman números de borde latentes para distinguirlos de los números de código escritos. Los números de código a veces se llaman números de borde."
Nut,"En el negocio del cine, se refiere a los gastos operativos asociados con una película (el cálculo del exhibidor de lo que se necesita para arrendar su cine, para personal y operarlo, etc.), También conocido como gasto fijo."
O.c.n.,O.C.N. Significa negativo de color original. Es simplemente tu negativo desarrollado.
Obligatory Scene,"Una escena cliché y esperada para un género particular, por ejemplo, una escena de amor en una película romántica o dramática, un tiroteo en un western, la resolución de un crimen en un misterio, un rescate en una película de acción, etc."
Off Book,"Se refiere a un intérprete que no necesita un guion (o libro), después de memorizar completamente todas las líneas de diálogo."
Off Or Offstage (or Off-camera),"Se refiere a la acción o diálogo fuera del escenario visible, o más allá de los límites del campo de visión de la cámara o del cuadro representado, también conocido como fuera de la pantalla."
Ommentary,"Una opinión u descripción objetiva de personajes o eventos que ocurren en la película, presentada desde un punto de vista omnisciente por un comentarista, la voz del comentarista proviene de fuera de la cámara y se presenta en la banda sonora como una voz en off, también se refiere a una de las características añadidas en varios dvds en la que un miembro del reparto, director, crítico de cine o historiador del cine 'comenta' de alguna manera sobre la película."
Omniscient point-of-view (pov),"Una película en la que el narrador sabe (y ve) todo lo que ocurre en una historia, incluidos los pensamientos de los personajes, la acción, los lugares, las conversaciones y los eventos, en contraste con el punto de vista subjetivo."
On Or Onstage (or On-camera),"En el escenario visible, o dentro de los límites del campo de visión de la cámara."
One Man (or Woman) Show,"Una narrativa escrita o filmada (o una película vanguardista o experimental) que presenta una pieza de actuación en solitario con solo un actor o actriz que a veces interpreta múltiples roles o personajes, a menudo presentada por un comediante, en contraste con película de concierto."
One-liner,"Un término para una broma corta y de una sola línea (que contiene su propia línea de remate), también el término puede referirse a la descripción de 'alta concepción' de una película - unas pocas palabras utilizadas para describir un guion, una historia o una premisa de película que una persona puede entender fácilmente con una simple frase."
One-reeler,Se refiere a una película de 10-12 minutos de duración.
One-sheet,Se refiere al tamaño típico de un póster de película.
Opening Credits Or Title (sequence),"La presentación de los 'créditos iniciales' (como introducción al público sobre la película e incluyendo miembros importantes de la producción) se conoce como secuencia de créditos iniciales, a veces se superpone en la acción, pero a menudo existe como letras estáticas sobre un fondo sólido, dado que los créditos de cierre generalmente enumeran todo el elenco y el equipo de producción, la secuencia de créditos iniciales generalmente se posiciona para establecer el estado de ánimo de la película, y a veces incluso carece de cualquier crédito excepto el título de la película, también conocidos como créditos frontales o títulos de inicio."
Optical(s) (or Optical Effects),"En la realización cinematográfica, se refiere a un dispositivo visual, por ejemplo, un desvanecimiento, una transición, una disolución, una superposición, un fotograma congelado, una pantalla dividida, una composición (un reflejo de tren en la ventana de un automóvil) u otro efecto, algunos de los cuales pueden crearse en la cámara, y otros que deben lograrse en la postproducción mediante mezcladores u otras técnicas especializadas."
Ópticas,"Efectos producidos mediante impresión óptica, incluyendo transiciones, títulos superpuestos, etc. A veces llamadas efectos ópticos. Sin embargo, cualquier cosa impresa ópticamente se puede llamar óptica, por lo que incluso soplar película de 16 mm a 35 mm, aunque no involucre un efecto, es una óptica."
Original,"Cualquier película, negativa o positiva, que haya sido filmada por una cámara, en contraposición a una copia o copia intermedia. El término original se puede usar indistintamente con negativo, pero es un término especialmente útil cuando se habla de película positiva, donde es la forma más clara de indicar si algo es una duplicación o el original."
Oscar Bait,"A menudo se usa de manera despectiva para describir el zumbido de relaciones públicas inventado por el estudio antes del lanzamiento de una película (generalmente una épica o una seria película biográfica lanzada a fines del año) como digna, significativa y merecedora de premios oscar, el término supuestamente fue utilizado por primera vez por hedda hopper en una columna de ""mirando a hollywood"" el 1 de junio de 1948, el término se refiere a (1) una película autoproclamada, ""importante"", a menudo sobreproducida, socavada por su intento de apelar a todos los demográficos, o (2) una actuación llamativa diseñada para llamar la atención sobre sí misma, este tipo de películas y actuaciones solían garantizar un oscar de los votantes de la academia durante los años adolescentes de la industria cinematográfica de los años 50 y principios de los 60, pero ahora se consideran pretenciosos y/o cursis en la era moderna, e irónicamente a menudo perjudican las posibilidades de la película o el actor de ganar un oscar, aunque algunas películas aún tienen éxito, también conocido como oscarbation."
Oscar(s),"El nombre dado a los premios de la ampas (academia de artes y ciencias cinematográficas) que se otorgan cada año a varios artistas y otros en la industria cinematográfica, conocidos oficialmente como el ""premio de la academia al mérito""."
Out-takes,"Se refiere a tomas de cámara que no se incluyen (literalmente, se 'toman fuera') en el corte final o la impresión de una película, a menudo recuperadas del suelo de la sala de montaje, y se muestran durante los créditos finales, también ver metedura de pata."
Over-the-shoulder (ots) Shot,"Un ángulo de cámara medio muy utilizado o vista en una escena de diálogo, en su mayoría con edición de alternancia de toma/reverso de toma, en la que la cámara graba la acción desde detrás del hombro y/o cabeza de uno de los personajes, enmarcando así la imagen, los dos personajes están así vinculados o conectados entre sí, y se establecen sus posiciones."
Overacting,"Mala actuación excesivamente amplia o 'exagerada' por un actor 'exagerado', también conocido como ""exagerando"" o 'comiéndose el escenario', a veces considerado de manera positiva como 'campy', en contraste con la actuación insuficiente."
Overcrank,"Hacer funcionar la cámara más rápido, produciendo cámara lenta. El término ha sobrevivido desde la época en que se manivela una cámara."
Overcrank(ing),"Se refiere a aumentar la velocidad de cuadros de una cámara - para filmar a más de los normales 24 fps, de modo que la imagen resultante, cuando se reproduce a la velocidad de cuadros normal, parezca estar en cámara lenta, esta técnica a menudo se usa para filmar maquetas, el término ""cranking"" se refiere a la antigua técnica de tener que girar o maniobrar una cámara a mano."
Overexposed,"Se refiere a una toma de película que tiene más luz de la normal, causando un efecto deslumbrante, lavado, blanquecino, brillante, usado deliberadamente para escenas de flashback o sueños, también conocido como quemado o blanqueado, lo opuesto a subexpuesto."
Overlap,"La superposición de diálogo, sonidos o música de una escena a otra, ocurre cuando el corte en la banda sonora no es al mismo tiempo que el corte en la imagen, también puede referirse a dos o más personajes hablando al mismo tiempo, también conocido como sonido superpuesto."
Overture,"En términos de cine, una selección musical previa a los créditos o los créditos iniciales que establece el estado de ánimo y el tema de la próxima película."
Ozoner,"Término coloquial para un autocine, también conocido como pozo de pasión, ver también teatro cubierto (sala de cine cubierta)."
P.a.,Abreviatura de 'aparición personal' - a menudo requerido de estrellas importantes - para promover o proporcionar rr.Pp. O 'relaciones públicas' (marketing) para sus películas.
P.o.v. Shot (or Point-of-view Shot),"Una toma subjetiva hecha desde la perspectiva de uno de los personajes para mostrar al público la escena tal como se vería a través de los ojos del personaje, generalmente se combina (antes y/o después) con una toma de reacción (o una secuencia de tres tomas llamada toma reversa) para establecer el pov, también conocido como toma de primera persona o cámara subjetiva (el uso de la cámara para sugerir el pov de un personaje en particular)."
Pace,"La velocidad/tempo de la acción dramática, que generalmente se ve reforzada por la banda sonora y la velocidad del diálogo, el tipo de edición, etc."
Package,"Los elementos de marketing de un proyecto cinematográfico, como guion, estrellas de cine firmadas, director, locaciones, gancho de 'alta concepción', etc."
Palito De Naranja,Un palillo de naranja que se encuentra en la farmacia para limpiarse las uñas. Es la forma preferida de limpiar el obturador.
Paloma,"Se trata de un disco redondo y pesado con un pasador de iluminación, utilizado para colocar una luz en el suelo, mucho más bajo que lo que permitiría un trípode. Básicamente, es un ""hi hat"" para luces."
Pan,"Un sustantivo, que significa 'expresar una opinión totalmente negativa' sobre una película, normalmente en una crítica cinematográfica, también conocido como 'destrozar' una película."
"Pan (or Panning Shot, Or Panoramic Shot)","Pan - un movimiento horizontal de la cámara en un eje, de derecha a izquierda o de izquierda a derecha. En un paneo, la cámara está girando sobre un eje en lugar de a través del espacio, como en una toma con dolly. No debe confundirse con tilt, técnicamente no es correcto decir ""pan hacia arriba"" o ""pan hacia abajo"", cuando realmente se quiere decir inclinación."
Pan And Scan,"Una técnica que evita el 'letterboxing' de una película de pantalla ancha para una imagen de video doméstica o de tv de 4x3 de pantalla completa, enfocándose en los elementos de la imagen que son más importantes para la trama y ajustando o recortando la imagen, cuando una parte importante de la imagen desaparece de la pantalla visible, la imagen se mueve mecánicamente hacia un lado (izquierda o derecha en un efecto de ping-pong) para mostrar la parte faltante, de ahí el término pan-and-scan, aproximadamente el 43% de los visuales se sacrifican o recortan en la versión pan-and-scan, afectando la intención original y el sentido estético del director."
"Parallel (editing, Action, Sound, Etc.)","Edición que corta entre dos secuencias que tienen lugar en diferentes ubicaciones y posiblemente en diferentes momentos, la acción paralela se refiere a un dispositivo narrativo en el que dos escenas son observadas en paralelo mediante cortes cruzados, el sonido paralelo se refiere al sonido que coincide con la imagen acompañante, también conocido como corte cruzado, intercalado."
Parenthetical,"Se refiere a las indicaciones del guion (mostradas entre paréntesis) para guiar a un intérprete a entregar sus líneas de una manera particular, como (tranquilo) o (enojado), etc., Pero no deben usarse en exceso."
Parody,"Una comedia que imita o se burla de una obra existente de una manera absurda y sin sentido, y exagera sus características."
Paso,La distancia entre las perforaciones a lo largo de una bobina de película. El stock de impresión tiene un paso ligeramente más largo que el stock de cámara.
Payoff,"Una escena dramática que justifica todo lo que la precedió, el resultado necesario de una complicación para la cual el público ha sido preparado, en contraste con el remate y el momento culminante."
Payola,Se refiere a soborno o pagos bajo la mesa.
Película Caducada,"La película es perecedera. Cuando comienza a ponerse rancia, los tintes cambiarán de color y el grano se acumulará, dando como resultado un efecto generalmente empañado, fangoso y desaturado. Solo después de aproximadamente 2 o 3 años esto comenzará a suceder, siempre y cuando la película esté refrigerada. Las películas más rápidas tienden a caducar un poco más rápido que las películas lentas. Del mismo modo, la película en color caducará un poco antes que la película en blanco y negro. La otra cara de la moneda es que la película caducada se puede obtener bastante barata, y a menudo gratis."
Perf,Perforaciones. Los agujeros de engranaje en una pieza de película.
Perforación Doble,"Película de 16 mm con una fila de perforaciones a lo largo de ambos bordes. En el bote de la película, esto se indicará con 2r en la etiqueta."
Persona,"Literalmente, en latín significa ""máscara"", relacionado con la imagen o personalidad en pantalla asociada con una estrella."
Photo Flood,"Una bombilla de alta potencia que se enrosca, que se usa frecuentemente con un accesorio de luz de pinza. Las photo floods suelen tener entre 250 y 500 vatios."
Pic(s) (also Pix),Términos coloquiales para película(s).
Picture Within A Picture,"Un enfoque particular de contar historias, literalmente, tener una película dentro de otra, en algunos casos, los personajes son conscientes de la 'película dentro de una película' y rompen la cuarta pared e ingresan o interactúan con ella, también conocido como película secundaria o película dentro de una película."
Pies De Candela,"Medida de luz. Un pie de vela es la luz de una vela, a un pie de distancia. Muchos fotómetros usarán pies de candelas como número inicial, que luego deben convertirse en un f-stop en función de la sensibilidad de la película que estés usando. (Debido a la gran variedad de diferentes velocidades de película, a veces es ambiguo hablar demasiado sobre pies de candela, ya que un número dado de pies de candela no dará el mismo f-stop de una velocidad de película a otra.)"
Pilottone,"Una señal de referencia de 60 hz grabada en la cinta de película para permitir la transferencia al mag precisamente a la velocidad de sonido, utilizado para la filmación de sonido sincrónico. (En europa es de 50hz)."
Pin-up Girl,"Se refiere a las actrices más sexualmente atractivas de una era, que serían popularizadas en poses seductoras generalmente semidesnudas, en imágenes, calendarios o carteles producidos en masa que generalmente se ""colgaban"", a menudo con tachuelas, en las paredes de dormitorios, el interior de casilleros, etc., Esta práctica comenzó especialmente entre los soldados gi fuera de casa durante el combate militar que anhelaban a la 'chica de vuelta a casa', términos relacionados son portada (para portadas de revistas), modelo o cheesecake."
Pipeline,"Se refiere a proyectos cinematográficos en el sistema que están en desarrollo o producción y programados para su lanzamiento en el futuro, sinónimos = en proceso, en proceso, en marcha, en cola."
Pista Óptica,"Un paso intermedio entre tu mezcla principal y tu copia final es tener una pista óptica. Una pista óptica se fotografiada en una pieza en blanco de un material especial de alto contraste por la instalación donde se hace la mezcla, o por el laboratorio. La pista óptica es una película separada del negativo original y se combina con la imagen cuando se hace una copia. (La pista en sí sigue siendo un elemento separado de los rollos a y b, se imprime en un paso separado a través de la impresora de contraste.)"
Pitch(es),"Propuestas orales o escritas (de ventas) para proyectos cinematográficos generalmente hechas por guionistas (para vender una idea de guion), o productores independientes para productores o ejecutivos de estudios para obtener respaldo financiero, desde una descripción de una línea hasta un tratamiento de dos o tres páginas de una idea (antes de convertirse en un guion), también se refiere a frases cortas que capturan o resumen de manera sucinta el guion."
Pivotal Character,"Se refiere al personaje que lanza la acción entre el protagonista y el antagonista, o el personaje que establece los principales eventos de la trama en movimiento, las películas con un clásico ""triángulo amoroso"" involucran a una mujer que sirve como 'personaje pivotal' entre dos pretendientes rivales."
Pixillation,"Una técnica de animación en la que la ilusión de movimiento continuo y real de objetos tridimensionales, a menudo personas, se rompe o se hace mover de manera desigual o brusca mediante el uso de cinematografía de stop-motion (animación de fotograma único) o imprimiendo solo fotogramas seleccionados del negativo continuamente expuesto."
Placa De Presión,"Parte de los mecanismos internos de una cámara, la placa de presión está ubicada en el otro lado de la película desde la compuerta. Es una placa lisa y con resorte que sostiene la película en el plano de la película y actúa como freno, ayudando a mantener la película quieta mientras se expone."
Plano De Película,"El plano de película es el plano de profundidad desde la lente de la película, detrás de la compuerta, en la cámara. También es el punto desde donde deben medirse las distancias en el anillo de enfoque, e está indicado en el exterior de la cámara con un pequeño símbolo que se parece al planeta saturno girado de lado."
Plot And plot Point,"Se refiere a una serie de eventos o acciones dramáticas que componen la narrativa de una película, un punto de la trama es un punto de inflexión clave o momento en la historia de una película que avanza significativamente la acción, los puntos de la trama o bien ponen en marcha aún más la historia o la interrumpen y complican, también conocido como beat o a story, en contraste con un subplot (también conocido como b story o c story) - una trama secundaria en una película, una planta de trama es la técnica de 'plantar' una pieza aparentemente trivial de información al principio de una historia - que se vuelve más importante más adelante."
Poco Profesional,"Un insulto lanzado a alguien durante una crisis cuando han roto alguna regla no escrita de conducta profesional. Comúnmente, el término se usa con mayor frecuencia por personas a las que también se les aplicaría fácilmente."
Point Of View (pov),"La perspectiva desde la cual se cuenta la historia de la película, y para permitir al espectador saber lo que el personaje está viendo, también se refiere a una toma que representa la perspectiva, vista, punto de vista o posición de un personaje, también ver punto de vista omnisciente y subjetivo, y toma p.O.V."
"Porn (porno, Or Pornographic)","Se refiere a una película que explota o representa gráficamente el sexo, a menudo clasificada como xxx, ver también nudie o skin flick."
Portmanteau Film,"Se refiere a un estilo de película (generalmente de historias entrelazadas, como en una película de antología) en el que todo gira en torno a o está unido por un solo evento, o persona, o ubicación única, también conocido como película de paquete o película omnibus."
Positive Print,"Se refiere a una imagen de luz original impresa o capturada en película, lo opuesto a la impresión negativa."
Post-credits Sequence,"Ya sea una escena desechable o un epílogo que sucede durante o después de los créditos finales, a veces se usa como una bonificación para los espectadores que permanecen para ver los créditos, y en parte para generar 'buzz' sobre la escena extra."
Post-modern,"Se refiere a un retorno a la tradición, en reacción a estilos más 'modernistas'."
Post-production,"La etapa final en la producción de una película después de la fotografía principal o el rodaje, que implica la edición de imágenes, la adición de efectos de sonido/visual, música, mezcla, doblaje, distribución, etc., En la post-producción digital, también puede incluir cambiar expresiones faciales, eliminar defectos u objetos intrusivos (micrófono, pértiga, etc.), Mejorar la imagen visual, etc., También conocido como post, contraste con pre-producción."
"Post-synchronization (también conocida como Diálogo Automático de Reemplazo, o Adr, o Post Synching)","Se refiere al proceso de post-producción de grabar el sonido después de que se haya filmado la película, a menudo agregando diálogo hablado por actores mientras miran la película proyectada."
Potboiler,"Una referencia literaria a las novelas de detectives/crimen estadounidenses de borde duro (también a menudo llamadas 'pulp fiction' o 'dime novels') escritas rápidamente y llenas de violencia, crimen y sexo, para literalmente 'hervir el pote', también conocido como duro."
Práctico,"Un práctico es cualquier bombilla tipo foto-flood, utilizada dentro del plano, en una lámpara de casa o visible de otra manera. El término práctico a veces se utiliza indistintamente con foto-flood, aunque se refiere específicamente a una luz utilizada en la toma."
Pre-code,"Se refiere a los cuatro-cinco años (1930-1934) antes de la aplicación del código de producción de hays en hollywood, para sanitizar y censurar rigurosamente las películas. En las tramas cinematográficas a partir de mediados de 1935 y durante aproximadamente los siguientes 30 años, el adulterio y la promiscuidad estaban prohibidos (a menos que terminaran en un desastre miserable), y todos los crímenes (y sus criminales) debían ser castigados."
Pre-production,"La etapa de planificación en la producción de una película después de que el proyecto finalmente reciba luz verde, y antes de que comience la fotografía principal o el rodaje real, que implica tratamiento del guion y edición/rewriting, programación, diseño y construcción de sets, casting, presupuestación y planificación financiera, y exploración/selección de ubicaciones, contraste con post-producción."
Pre-screen,Ver/ver una película antes de que se estrene para el público (en el estreno).
Premiere,"La primera proyección pública oficial de una película, marcando el inicio, la apertura o la noche de estreno, un estreno 'de alfombra roja' es uno con mayor publicidad y alboroto (promoción sensacionalista), alharaca o hype, también conocido como debut o estreno."
Premisa,"La idea principal de una película, generalmente explicada en unas pocas frases."
Prequel,"La segunda o tercera película de una serie de películas que presenta personajes y/o eventos que están cronológicamente establecidos antes del marco de tiempo de la película original, contraste con secuela."
Prerroll,Tiempo extra al principio de una toma de sonido para acomodar el lento tiempo de bloqueo de algunos dispositivos de código de tiempo de producción.
Preview,"Un cortometraje, generalmente con extractos de una película futura, destinado como anuncio, una vista previa sorpresa se refiere a una proyección no anunciada, a menudo sorpresa, de una película completa antes de su estreno general o estreno anunciado, a menudo para medir la reacción del público, también conocido como tráiler."
Principal Photography,"Se refiere al rodaje de porciones importantes y significativas de una producción cinematográfica que involucra a los actores/actrices principales/principales, contraste con fotografía de segunda unidad."
Principals,"Se refiere a los personajes principales en una obra de teatro o película (generalmente aquellos que tienen diálogo), contrastado con protagonistas o antagonistas, o extras."
Print,Se refiere a una copia positiva de una película.
Prison Film,"Un subgénero muy popular cuya trama de la película generalmente está ambientada dentro de los muros de una prisión institucional, los temas involucran encarcelamiento y/o escape, los efectos en los personajes involucrados e interacciones entre oficiales e internos, y problemas de justicia/injusticia, el subgénero de la película de prisión se puede encontrar en cualquier género principal (animado, drama, comedia, musical, ciencia ficción, sexplotación, etc.)."
Process (proyección o toma),"Una técnica que filma acción en vivo frente a una pantalla en la que se proyecta la vista del fondo, una toma de proceso se refiere a una toma de acción en vivo frente a una proyección de proceso."
Producción,"El proceso general de armar una película, incluyendo el casting, construcción de sets, vestuario, ensayos y rodaje, también se refiere a la etapa intermedia de la producción que es precedida por la pre-producción y seguida por la post-producción."
Producción (valor),"La producción se refiere a todo el proyecto cinematográfico, la pre-producción se refiere a la etapa en la que una película se prepara para entrar en producción, la post-producción se refiere a la etapa en la que se ejecutan la edición, la puntuación y los efectos en una película, el valor de producción se refiere a la calidad general de una película, basada no en el guion, actuación o director, sino en criterios como vestuario, sets, diseño, etc."
Product Placement,"Se refiere a cómo las empresas compran espacio publicitario dentro de una película para sus productos, como una forma para que un productor financie algunos costos de producción de la película."
Productor (cine),"Uno o más de los jefes de una producción cinematográfica, involucrados en varios asuntos logísticos (es decir, programación, financiamiento, presupuestación), recauda fondos y financiamiento, adquiere o desarrolla una historia, finaliza el guion, contrata al personal clave para el elenco, equipo y director, y arregla los distribuidores de la película a los teatros, sirve como el enlace entre los financiadores y los cineastas, mientras administra la producción de principio a fin (post-producción)."
Prólogo,"Un discurso, prefacio, introducción o breve escena que precede a la acción principal o trama de una película, contraste con epílogo."
Promo,Término informal para promoción de ventas.
Props (o Propiedad),"Abreviatura de propiedades: se refiere a los muebles, accesorios, objetos portátiles, decoraciones o cualquier otro artículo móvil que se ve o se utiliza en un set de filmación (o escenario) pero que no es una parte estructural del set, generalmente es responsabilidad del encargado de utilería o maestro de propiedades."
Protagonista,"El personaje principal o principal en una película, también conocido como héroe/héroina, contraste con antagonista."
Proyección Trasera (o pantalla),"Una técnica de efectos especiales para crear fondos, en la que los actores son filmados frente a una pantalla en la que se proyecta una escena de fondo, comúnmente utilizada en películas antiguas para producir el efecto de movimiento en un vehículo. También ver toma de proceso, fotografía de proceso o proyección posterior."
Proyector,"La máquina que proyecta rápidamente una sucesión de imágenes de película (fotogramas individuales) en una pantalla, utilizando el principio de ilusión de movimiento."
Proyector De Doble Sistema,Un proyector diseñado para proyectar un workprint y reproducir una pista de sonido en sincronía.
Pull Back,"Un tipo de toma de cámara en la que la cámara se aleja físicamente o hace zoom desde el sujeto para revelar el contexto completo de la escena, lo opuesto a push in."
Punchline,"Una línea divertida e ingeniosa que culmina una historia, chiste o escena, en contraste con payoff y one-liner."
Push In,"Un tipo de toma de cámara en la que la cámara se acerca físicamente o hace zoom al sujeto u objeto para verlo más de cerca, lo opuesto a pull back."
Q Rating,Se refiere a una calificación de investigación publicitaria que mide cuán fácilmente es reconocido un famoso y cuán bien le cae al público.
Rack Focusing,"Se refiere a una técnica cinematográfica en la que se cambia el enfoque en pantalla de manera que se difuminan los planos focales en secuencia, forzando al ojo del espectador a viajar a esas áreas de una imagen que permanecen en un enfoque nítido, el enfoque cambia de un objeto en primer plano a un objeto en el fondo o viceversa, para dirigir, cambiar y dirigir la atención del espectador de manera forzada de un sujeto a otro, también conocido como enfoque selectivo o pull focus."
Rango,"Una respetable y comúnmente usada marca de máquinas de telecine. La palabra a veces se usa indistintamente con telecine de la misma manera que se usa ""steenbeck"" en lugar de ""flatbed""."
Raphy (o Icono),"El uso de un símbolo o icono conocido, un medio para analizar los temas y diversos estilos en una película."
Re-enactment,Una producción cinematográfica que recrea un evento real lo más fielmente posible.
